Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / vit,Price / vit,Compare At Price / vit,Included / الامارات العربية المتحدة,Price / الامارات العربية المتحدة,Compare At Price / الامارات العربية المتحدة,Status
cosrx-purifying-treatment-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/71TLfESpRhL._AC_SX679__1.jpg?v=1707769305,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosrx-purifying-treatment-toner-150ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/614cxNHVN1L._AC_SX679__1.jpg?v=1707769305,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
elizavecca-hyaluronic-acid-50ml,Elizavecca Hyaluronic Acid 50ml,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">إليزافيكا حمض الهيالورونيك 50 مل</span></p>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">مبرمج قوي لبشرة حيوية. ويتمتع بحمض الهيالورونيك Elizavecca Witch Pigeon للتحكم في بشرتك لترطيبها. يحتوي على حمض الهيالورونيك، وهو مادة موجودة في جسم الإنسان تحافظ على الرطوبة في الطبقة العليا من الجلد وصولاً إلى الأدمة.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">97% من حمض الهيالورونيك، الذي لا يوفر الرطوبة لبشرتك، ولكنه يساعد أيضًا على تقليل أنسجة البشرة وتبييضها. يتم امتصاص حمض الهيالورونيك الرطب بشكل لا يمتص الرطوبة أو يلتصق ويشتمل على عدم احتراق الزوجة اللزجة. ولهذا السبب يتم استخلاص حمض الهيالورونيك من حمض الهيالورونيك.</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">حمض الهيالورونيك عصر أكثر من 1000 مرة. كلما زاد تركيز حمض الهيالورونيك، زاد ترطيب الجلد.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">ما هو حمض الهيالورونيك؟ حمض الهيالورونيك هو مادة داخل جسم الإنسان تجذب الرطوبة، وكلما زاد تركيز حمض الهيالورونيك في الجلد، تصبح بشرتك أكثر رطوبة. يكتسب حمض الهيالورونيك المرطب تأثيره على الزوجة وسوف ترتكب الزوجة اللزجة مقاومة للماء بسرعة. 97% من حمض الهيالورونيك، الذي لا يوفر الرطوبة لبشرتك، ولكنه يساعد أيضًا على تقليل أنسجة البشرة وتبييضها.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">كيف استخدمت:</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">ولهذا السبب يتم استخلاص حمض الهيالورونيك من حمض الهيالورونيك</span></div>",Victoria beauty,,مستحضرات كورية,"",true,Size,5.08 x 5.08 x 10.16 cm; 45.36 Grams,,,,,VTI123-1,50.0,shopify,continue,manual,35.99,46.99,true,true,‎B0779ZKTGJ,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4095236320.jpg?v=1707768137,1,"",false,,,,,,,,,,,,,,,g,,30.99,true,,,true,,,true,,,active
elizavecca-hyaluronic-acid-50ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4113226139.jpg?v=1707768137,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
elizavecca-hyaluronic-acid-50ml,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4113239606.jpg?v=1707768136,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
etude-house-baking-powder-crunch-pore-scrub-200g,ETUDE HOUSE Baking Powder Crunch Pore Scrub 200g,"<span data-mce-fragment=""1"">Baking Powder Crunch Pore Scrub 200g مقشر عميق ومبرد 2 في 1، يحتوي على أكثر من 40% من مسحوق الخبز، ينظف المسام بشكل فعال ويتركها تشعر بالانتعاش والضيق مع تأثيرات المنثول.</span>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,19.2 x 5.99 x 3.91 cm; 200 Grams,,,,,VTI123-5,200.0,shopify,continue,manual,92.99,102.99,true,true,B0BR5HNF2P,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4089340514.jpg?v=1707773453,1,"",false,,,,,,,,,,,,,,,g,,87.99,true,,,true,,,true,,,active
etude-house-baking-powder-crunch-pore-scrub-200g,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/4089305091.jpg?v=1707773453,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
etude-house-zero-sebum-drying-powder,ETUDE HOUSE Zero Sebum Drying Powder,"<div id=""productDescription_feature_div"" class=""celwidget"" data-feature-name=""productDescription"" data-csa-c-type=""widget"" data-csa-c-content-id=""productDescription"" data-csa-c-slot-id=""productDescription_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""acinbp-ykevk7-ar3rib-olv663"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div data-mce-fragment=""1"">
<div data-feature-name=""productDescription"" data-template-name=""productDescription"" id=""productDescription_feature_div"" class=""a-row feature"" data-cel-widget=""productDescription_feature_div"" data-mce-fragment=""1"">
<div id=""productDescription"" class=""a-section a-spacing-small"" data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">* Etude House * مسحوق تجفيف زيرو سيبوم (6 جم) مسحوق معدني يوفر بشرة صافية بدون جفاف أو تقشر. قطع الزيت / العناية بالدهون مصنوع من مسحوق معدني (80%) لتجفيف البثور الدهنية والشمعية وتحت السطح بكفاءة. 5 مكونات  ، الزيوت المعدنية، المكونات الحيوانية، الصبغة الاصطناعية، العطور الاصطناعية....</span></p>
</div>
</div>
</div>
</div>
<div id=""renewedProgramDescriptionBtf_feature_div"" class=""celwidget"" data-feature-name=""renewedProgramDescriptionBtf"" data-csa-c-type=""widget"" data-csa-c-content-id=""renewedProgramDescriptionBtf"" data-csa-c-slot-id=""renewedProgramDescriptionBtf_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""60jvbi-eiugyl-98ejgh-vtnfhs"" data-cel-widget=""renewedProgramDescriptionBtf_feature_div"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div id=""aplusBrandStory_feature_div"" class=""celwidget"" data-feature-name=""aplusBrandStory"" data-csa-c-type=""widget"" data-csa-c-content-id=""aplusBrandStory"" data-csa-c-slot-id=""aplusBrandStory_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""u1xpxc-8p1p18-4chrt4-4hwagw"" data-cel-widget=""aplusBrandStory_feature_div"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div id=""aplus_feature_div"" class=""celwidget"" data-feature-name=""aplus"" data-csa-c-type=""widget"" data-csa-c-content-id=""aplus"" data-csa-c-slot-id=""aplus_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""lshff-vhfqyi-ezt7cn-6cbrmt"" data-cel-widget=""aplus_feature_div"" data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div id=""productDetailsWithModules_feature_div"" class=""celwidget"" data-feature-name=""productDetailsWithModules_feature_V2"" data-csa-c-type=""widget"" data-csa-c-content-id=""productDetailsWithModules_feature_V2"" data-csa-c-slot-id=""productDetailsWithModules_feature_div"" data-csa-c-asin="""" data-csa-c-is-in-initial-active-row=""false"" data-csa-c-id=""ziii7z-kloi14-60cp4w-c9oowo"" data-cel-widget=""productDetailsWithModules_feature_div"" data-mce-fragment=""1""><a id=""productDetails"" name=""productDetails"" data-mce-fragment=""1""></a></div>",Victoria beauty,Health & Beauty,مستحضرات كورية,"",true,Size,5.5 x 5.5 x 2.3 cm; 3.97 Grams,,,,,VTI123-17,3.97,shopify,continue,manual,55.99,66.99,true,true,B00UGPJSA2,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/31Z7tlQpf9L__30092.jpg?v=1707857799,1,"",false,,,,,,,,,,,,,,,g,,50.99,true,,,true,,,true,,,active
etude-house-zero-sebum-drying-powder,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/41iZoIoSikL._AC_UF1000_1000_QL80.jpg?v=1707857799,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
etude-house-zero-sebum-drying-powder,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/41RPgYfPm1L._AC.jpg?v=1707857798,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelash-serum-from-etude-house,Eyelash serum from Etude House,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">مصل رموش بلدي</span></p>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">صحي، رمش صحي</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">سيروم الرموش الغذائي من تم تقديره للحصول على رموش أكثر صحة وقوة.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">احصلي على رموش أكثر صحة وقوة وأطول مع My Lash Serum.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">رعاية من الجوائز</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">تمنح رموشك من الجوائز، مما يسمح لرموشك أن تكون قوية ومرنة وأكثر صحة.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">تأثير كحل!</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">يعطي هذا المنتج محددًا على طول خط العين ويهدئ البشرة من الإجهاد والمكياج.</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">كيف استخدمت:</span></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><br data-mce-fragment=""1""></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">خذ كمية من السيروم على جائزة ومشطيه حتى المبتكرة</span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">قبل النوم، يجب الحصول على موافقة جيدة ثم بعده منتجات الوجه</span></div>",Victoria beauty,,مستحضرات كورية,"",true,Size,1 x 1 x 6 cm; 1 Grams,,,,,VTI123-7,1.0,shopify,continue,manual,19.99,30.99,true,true,‎B07KV65G25,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.33_03110e93.jpg?v=1707769737,1,"",false,,,,,,,,,,,,,,,g,,14.99,true,,,true,,,true,,,active
eyelash-serum-from-etude-house,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.32_72ba4496.jpg?v=1707769737,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyelash-serum-from-etude-house,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0853/0195/2795/files/1445-08-01_11.04.32_f64a9b0b.jpg?v=1707769737,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
